content_id,content_type,source
595666,1167414,1581790
1288146,162593,14771
1297493,1360380,1711484
1435612,1916601,1994777
314751,1183071,441614
678048,679609,633937
199986,1225901,21878
786818,1713073,725654
771258,536226,1931322
63529,1016275,2093049
86523,99630,1582183
1085064,56435,1991860
187682,1986229,439761
1093157,2081321,156909
136795,877263,981361
1557811,677085,459371
377336,1610464,2018985
510182,517239,665852
794772,841282,1076397
1732290,1416966,820939
1531945,900318,1235120
1901733,87071,1229933
886520,1244894,1984131
510359,2062464,1973780
1574001,301297,234912
1203895,1046311,1936788
1244346,317745,1874190
1429021,1808840,1364777
1921220,915745,1888001
1609003,30680,1171277
1867540,469388,1769235
972101,1884457,919167
216978,1520020,225636
293050,1934116,28662
2001928,736970,2084180
1083775,2068001,409884
123545,620390,688963
438314,349707,2010790
174969,1208498,1239306
1217010,53926,913349
987760,1342804,387135
1715265,1043625,232893
1578955,1959576,1994974
384947,824375,1748604
1933582,1514334,13561
2014238,1219455,991574
2002845,33184,1956188
1279446,1244841,663329
511896,691101,82966
746050,599731,437644
2097393,689576,443941
393266,1908057,933274
1484700,2062927,60315
1064127,1315327,432040
802183,810447,1213367
1459380,1718298,1986496
1738211,913519,1968088
1384646,110816,686191
1689734,1712819,22411
1963967,856854,1719789
1835594,1444915,1995868
120366,1319292,1184996
1238992,726755,1710836
1436919,103893,1266947
493538,1104396,628205
1318505,1794519,623334
1151593,332061,1431269
657341,1179223,736466
1889693,1745558,201039
2000586,137447,1804974
1844837,112271,81950
1164565,1871009,1864640
712115,786616,1132471
991713,2010256,1511727
88051,1753378,2066004
527557,1350198,1289777
1302512,417274,1920256
955055,292471,2018944
903576,534965,88119
782995,1451325,594661
962064,561968,2011348
979467,1568311,808219
1538676,338654,943783
1917741,1057591,654102
1032030,46319,1301256
908681,1763399,640528
1596263,837805,631888
565308,1674519,1347793
622638,1510203,1581647
776391,1293632,1050287
1334045,139852,28939
529185,691590,215893
426002,1087991,200431
657838,193811,452218
1603114,23277,893829
982184,1459326,233182
1959105,1116329,442599
1518151,404292,1557760
925841,1922296,86449
1428136,305232,1756763
1792197,515362,1683049
47207,1298740,887461
1490680,190012,28364
1348316,1787133,1264761
910713,1515844,1404553
233805,782115,976625
1112163,1514672,1154146
730009,865313,1550874
311956,1314774,364727
1386060,2063513,1328641
981961,859419,529545
1579199,741989,636512
566183,1957490,1050059
1230342,2024161,1242619
178584,1547709,1965324
1119298,1720417,1008229
1545297,2085370,1743805
1644315,422250,392254
508617,1685106,587244
486222,1068811,1491269
1931232,1739460,1346537
593145,896525,1685978
1318821,1344198,1521321
300066,1834287,673006
648380,1917692,1934652
332493,326865,561580
2050693,1248657,1516941
1783425,948803,1437479
777926,906838,2069707
474747,1749101,36972
2033217,555218,821182
973867,302768,866457
1268188,673868,658979
2046321,1009178,1692061
496001,1850424,1020114
72302,371453,876917
1747525,157207,1762190
778587,771392,1957570
869357,23180,1780701
827604,1346196,104149
151761,470870,614695
1852890,722631,593204
1804318,1880270,157459
1405910,8485,1259114
44778,1737703,656982
25292,1175659,806010
690013,1317432,1069953
1855027,397808,528060
1191267,782421,435272
689068,300077,524959
1880412,1223808,632475
312112,799829,109172
375022,23829,1359243
1585287,288256,743816
771675,866731,1099000
935537,143935,1469922
1151863,1370221,1030377
896317,176650,1271127
1626284,26451,1660070
953954,1813198,329278
634656,1910771,193519
559724,2045142,1625909
1643051,1366344,1975104
19562,528958,990414
240562,904965,488325
333415,1527035,1074613
968461,1556239,450015
1436943,345036,1954109
1660923,1416963,1040268
1766043,1127074,313329
543252,1955015,1090143
990805,293293,1404157
598602,695224,1450430
616541,44922,2887
828024,1227885,1703780
719445,1871510,704121
1215158,1296926,1318293
859283,156527,1238628
1810649,593143,1477667
1691043,1634892,733195
1755746,444492,94585
792810,421750,1020455
785065,2095013,915139
1899510,1572381,1471360
170401,652538,1199631
1112506,1496613,779745
291168,349315,1666800
94104,845359,1324342
29338,808652,1576449
539371,1485004,661904
771493,816941,1955785
1854367,560283,1001234
172318,1520801,121322
17707,1439876,758514
664218,932571,1352228
790574,1906842,1641875
829105,187700,858989
680391,745426,872905
314973,1331208,729916
296835,858061,849285
1710529,1457689,151966
1506289,1589055,736736
345216,191622,262872
1457441,951315,1742176
1807554,810263,2033726
1191965,1846405,1098208
1039858,1233451,864190
147988,1154532,1379185
1387875,1362619,1088763
356052,1144322,294090
1151723,441903,368263
1246553,1573959,511963
1489708,823217,815638
600772,620659,178743
1920313,236498,1066094
328830,465288,33913
512679,1781711,1895055
273427,1571414,358754
376208,169441,1346348
1054902,600810,865945
436966,1154775,375907
1611758,163520,1162117
1390275,1807690,253654
1491725,711487,1803366
1624576,162081,856162
1446121,1141475,954039
96084,1598219,1469006
1741740,936109,754051
2030983,1717173,1431636
1600065,1082738,656729
188970,163338,1751210
65789,1240184,670917
432710,1626685,1389129
1397243,1000093,1100380
662430,1789334,1066060
724082,1361083,813852
1692774,989610,1895148
392838,1052735,940376
1298011,907359,1716019
1391645,168685,1455004
35959,2022653,1446045
2022650,1356639,1949196
802841,1086659,986002
1463143,1477353,1431540
765221,1851910,414150
1856014,268832,1095710
1899223,995042,1870593
894107,1302231,1482571
565689,1964634,1658624
1318039,1553048,1767664
1443551,1540298,1748279
528686,351883,1680097
254469,1044093,2065039
631630,286141,129279
289085,1237846,243707
427216,337984,1120795
1733025,142007,361932
1077707,1948979,1355640
1703981,1338994,479336
1076882,263868,400837
1848861,1832863,1951332
459549,83173,1604204
1618566,222708,1956527
1894621,131410,1723081
1654371,872781,349740
1951731,703147,2063386
1860292,398728,808500
1901181,1653698,227862
389509,1595946,1298388
1133752,1779663,901802
287339,963673,807438
524564,1536339,1619865
499876,1948667,1042112
306039,1546215,1600444
453828,1742568,652960
1888908,2011134,702565
1224176,957034,151697
1534158,1659638,488671
833590,1442262,285801
1257305,1726132,1899017
52148,1922770,541089
1346525,908501,1806965
15024,1399312,1640638
1962669,1528503,1648279
790548,1349632,720610
185187,1132728,1075551
965990,590620,1965280
77516,1678158,1758535
812145,1100050,1587636
916905,1790800,1606034
243255,1005618,707104
540281,313105,1161795
1742746,1865751,968558
1099765,716802,466014
566211,1115197,560753
1202111,383640,2059655
817022,1867187,1926147
249140,1947210,2054542
581942,1359002,955519
993477,4670,1335681
890646,144684,1958024
1245811,312208,712674
991984,1545897,80167
1281426,1017626,845972
1774557,1159360,1719836
1965098,932292,1208475
904053,32525,302899
282144,1162057,1155443
589635,227986,14067
288068,53157,42143
1204108,218238,586449
1386227,1950540,182159
1374341,597288,48467
371995,2042147,601323
1524482,1208887,1298637
2048903,309188,2022271
1492050,1663808,20818
631283,775849,158037
1796063,385142,440567
1798966,1340160,230684
1149368,36977,1102278
819540,830343,1625834
324741,959007,2073340
63584,1133990,587631
399760,1359469,552001
740822,796846,831998
1097893,586949,66925
1169173,778092,1180946
1288355,1172663,1873439
411840,912931,1933786
1306923,2088015,1656964
1573534,1516758,1273658
969599,1730691,708886
120692,1768987,1347660
2052162,1437243,2050302
2075925,762093,2006826
1380134,87439,561233
634793,839036,470260
371412,1137563,1398562
1219697,1009760,1970398
981110,160591,1798323
1447936,485455,2080819
1825465,1225661,1723303
1086091,1562708,936629
1153984,1721855,1951135
1621207,1946357,522744
1765394,592635,1372270
1808752,499866,600138
234767,1015470,1445681
2040940,1240977,1127111
472207,1582694,1046895
1757204,420211,1759457
1343808,327069,518355
1120501,1696258,93985
1009314,120386,230230
1524532,995128,1869319
700705,746,653086
906147,467455,1979751
1070026,1766736,910677
585992,995416,1931273
1512140,192922,1745065
363255,80026,981992
19099,1216476,1277905
584430,52388,299108
1923960,1502989,1907723
49849,1934205,1654766
1341362,1234515,945168
534091,864462,1804496
1083027,631606,1871899
1719473,1616834,98017
1772322,1487157,1658804
2032921,428900,1457569
799386,1011580,910639
1833947,1051485,1274859
313152,611563,1435545
247454,1228477,919905
198496,1641829,1861797
192504,1049438,664076
1829967,1318933,1427414
693359,405502,2023333
678219,1718460,839155
907112,902144,509166
300190,395105,433312
860953,410468,349126
159158,304464,1652800
325093,1563689,1625009
208094,956511,2071443
1208066,1486645,1005438
1694662,224404,682605
150413,1116973,1776941
1203453,1832615,1434317
1832961,887284,2001530
1746173,11711,1317573
1889765,487927,877039
866151,1677501,476071
986518,812288,2098757
1149743,314609,1411734
175747,1618448,359420
505556,24753,926483
2020607,679543,419240
1535987,515103,425646
447140,1849653,1846107
491645,2005281,640102
1251410,1083707,784560
331934,136276,70300
480719,1130810,123744
1682734,508965,408209
1929532,334308,1403395
1595700,340398,1682208
1245000,1553723,160652
1329651,1378582,10714
909632,1434077,544175
202021,1899578,1116683
788869,1677585,1730918
25865,801069,1917127
350863,1793281,925257
1220283,161949,947884
756250,217931,397865
2013039,1632973,529266
1834242,862742,1266841
1687997,655881,621486
1011420,1881631,1381862
937758,905282,2050132
581633,1225378,1105573
750065,1451070,206891
2083000,2030721,985382
1806816,1241340,1080060
1770970,691779,2094378
1559063,203918,792855
20848,149017,2004049
709539,1390274,1338397
2025886,1677683,550826
1857923,518107,207665
125399,1168449,205498
1171486,395875,1272883
281930,2028893,1475343
1762748,1696465,1972178
281899,1141612,1284907
580609,1409221,1018684
1650901,241989,1863999
1793258,281094,756223
332066,1312864,1957228
1577264,750766,731552
1314617,1452452,534451
542968,58162,781509
1857116,635347,780619
1726920,1755258,2023629
60447,1008052,1495217
264560,401654,71456
514077,1893619,73765
188026,1561103,116200
379121,1527844,1817998
2100,46901,209287
1262263,738327,1970038
1299518,928954,1697186
1104583,280576,859310
869102,760600,1993408
362710,310219,70466
500893,1311180,900987
342027,1188048,1560017
2086755,1312733,1402266
1867322,595981,1373519
1626667,1432419,85110
1869167,1940464,410430
774914,1320912,1004357
1822946,712265,57664
1496612,1304476,639612
1602363,69550,275742
1015570,657222,1072437
415420,476226,1595274
1167515,196616,1539049
721209,1392934,1765116
1186129,1084152,1638500
1720076,699369,1243129
1284309,790056,805752
1307055,145216,334748
733970,1075574,1799662
172790,1134706,1149151
1662142,296599,1631673
1398205,1972959,1710813
629201,1149382,1129232
747462,2083499,1615332
556048,689133,1849301
209135,591190,1495357
835265,1467248,488736
1629562,175517,1568864
527613,1553802,610642
1710820,1619965,259090
227778,1134452,1647171
1224029,188660,60059
899147,1928060,1843475
492439,1212224,1833848
1608647,1813979,1307725
1015093,518940,688121
1691864,672495,1406545
448437,1537665,1796864
940649,1203583,1905051
1577781,171087,2055429
1346602,2090873,692262
1790795,416819,606994
511411,1946438,1231894
1037369,703186,238726
270759,1774689,1219641
812147,1198134,861043
985192,955645,1998562
601501,397638,491967
1517072,504187,1448926
973778,897210,1102267
660179,1118858,1111732
546907,1345810,1277652
1618983,434656,1428670
2028649,1774792,1246131
904140,1763706,302533
1339881,788748,497949
460649,1965415,1199007
737423,1439521,1740895
487699,1366851,1658608
1047714,904398,837211
120504,1037939,1203761
2038158,246795,1596033
1194142,1841061,32669
1619555,622578,1785390
1999242,913347,1799999
1461464,828122,93013
1670463,223695,522666
405641,998537,1473009
781494,1066071,628485
1513062,1502190,1538778
748276,1378826,1891324
1308232,272179,1953647
81247,945924,357126
80101,2054135,47397
1235785,986560,1979713
1918143,1399586,1165998
1685834,1848913,1530622
16452,679869,52088
803398,861472,548664
1725609,1072549,1522933
1251225,1027036,924687
1168084,657332,886437
825124,496666,2027404
1235607,1175193,9296
509552,1398518,857360
113201,1550000,250076
389916,1872045,635551
489740,1749560,1781903
1815628,827660,16775
1596841,996376,1590616
1885347,67113,548816
1945012,620086,662649
1368137,2096189,410153
175700,1555365,1179852
1555932,202819,1461611
1317300,1835796,1432383
1045715,1138521,1103885
337793,951521,2094635
1415713,981894,479608
1898593,910063,1337669
768652,1377341,1848283
1133253,451043,1242956
1384586,1355176,1917616
426079,225532,811420
1430358,1907633,338056
1766288,1855535,795122
1180552,856601,1748972
1338403,1819388,1775371
1729267,1166555,420367
519042,1473952,1254560
703102,1400707,1295613
548299,626275,1165510
11321,552013,1720889
277317,1450966,1256912
718330,1658826,1672751
1355119,1262370,336327
917258,357213,1487705
196514,462841,799391
573402,318305,1541827
1136919,1159014,1016036
970672,1804121,205008
1636663,1380297,409937
1945411,1812907,161889
1521195,1707494,1362359
1251161,429627,1319138
1308982,595001,1739567
610856,670191,1075496
45100,1075656,2041505
1368617,170087,1336544
1987535,81037,2057725
624855,561230,1852655
1435137,176052,151928
2093179,93726,885488
908226,1324733,1948859
283274,389528,439012
1298765,376209,2030524
699984,1389067,1554955
1100650,1170177,457006
1233851,735353,344183
1751129,1919162,406182
1861318,256232,166456
136399,1030931,114923
805341,2100227,2008263
2006489,1142389,1885084
332595,1980156,1303262
954801,1301290,218666
929249,1389501,1701686
525540,318210,487158
159671,1156617,479203
304624,233961,605460
478440,72022,1962105
1853880,1553587,1491066
2012461,644604,506331
1472329,1865111,1581870
109208,2083919,817902
524980,213581,1905392
1370159,1941424,1846660
1444256,953044,1289577
1208282,1015041,931096
743401,1421017,528943
55333,1417448,891816
1050396,1182753,222133
169366,1553272,1599646
828774,601514,1693611
236981,1001143,1604072
1333701,279632,896627
1188934,172512,1517767
536540,1977612,439478
1139070,801984,1934791
151678,880272,977877
1915508,1771961,1359420
332632,2026802,468999
1255639,1201368,557537
1731480,1349276,1229489
1465304,1199873,658300
864609,219665,1922258
687449,665964,785004
1211308,1203643,1625938
1477499,1793760,1519335
626950,1626022,1815475
1469950,423217,390432
757345,537609,1907601
1409457,1735984,668754
1284117,254155,1094300
369630,1028631,1819308
1980465,450231,695112
224451,1142454,1607015
1155690,81704,967620
1850995,1708280,788595
1407373,1000721,82843
542814,1776224,1392496
1575446,1405459,913327
255464,1478392,1327485
1920088,101946,1201146
1581261,370316,1238449
1821543,1702783,1373075
1628836,540356,1728808
2068422,1521120,1727529
1566997,843778,756286
1278180,1912467,1266292
658790,467321,1593135
157566,28157,211144
623002,1352064,1022170
1271745,1165497,1602758
734388,1542799,493999
1713777,1897773,625043
811244,784022,393732
213901,1627501,918391
794583,443204,1805341
1217827,1402932,1098620
1261573,96212,469670
1313766,1463008,54318
1391457,1592050,1736857
1791261,1796624,439345
1246158,141350,768391
1650426,306975,1818343
1078374,2009498,40891
435478,3955,1997568
54506,1873081,591173
673287,772895,1360064
1856340,1341087,110709
343865,36490,1772248
1257822,23173,1847146
1929219,940619,70634
195878,1185234,84071
2099548,1970326,398725
1690625,312698,234159
822452,924099,531132
1047705,1753495,836561
1160261,2043752,410534
1802927,105169,1035683
949754,2001843,1617560
1875539,305796,599679
679957,1517884,31625
1144780,363613,1760108
830651,961990,1296829
1425849,674794,236468
2091122,1743659,1905085
1232663,789712,2000426
1636706,224909,165329
1980331,1146575,545139
1177902,1092237,1123962
542876,1637466,1021078
949536,755260,1683251
882923,2092137,1956987
1791948,48173,2080732
1892735,2015139,1067906
154451,1916952,551016
866636,1698772,651158
1240878,1673534,1282628
1963414,593371,648951
1830040,1243145,1300893
837702,1185345,1803138
1950184,2062137,1546310
935639,1466601,1204702
1319368,1763702,1865464
1967953,1591075,1288898
82106,510346,200433
538825,1778866,1248218
321047,1179883,799065
536430,841530,1137644
1507687,1402422,125782
1570349,1396546,415287
1965922,534533,2056898
862559,1232932,1446639
1171492,457435,613132
267440,326779,902312
315241,114803,1447729
1200201,1862539,756707
860867,1753785,1686627
244595,1241205,853635
1111053,1787216,1527407
1002756,56235,1843382
839712,26751,2027101
976341,1718014,1983215
656019,1450161,42385
1882676,1847691,542184
2032415,704373,711649
1688324,1824584,1797606
2075795,1610712,443342
644176,1320747,1768596
1085002,520939,923393
99884,1083271,1495984
1543947,1681538,458703
516417,285128,430762
1143191,2083862,1678904
1814839,660012,2052551
1417527,1996417,1052045
1315670,1240334,1792083
2025881,118036,1896471
1739266,689787,1328698
573889,994811,1450607
1726329,44594,1262691
1614691,968330,1517320
921211,913584,1525149
1517185,482883,639936
1492274,1609089,9991
1375367,157780,1157157
689913,285355,665832
367848,794365,1082685
137911,995018,2010427
868253,894802,1162754
323894,1602053,80053
733143,375299,767595
1007112,551087,1545378
1159718,1907736,2030079
765958,1238466,1233240
1671027,1415644,1248459
1762060,151704,459678
733346,1238936,965238
2021226,1867980,700512
1044850,1063114,1617016
182422,2087407,106330
1666838,1640062,1162276
1375084,16366,950970
148574,1886221,105211
1113608,352115,2055480
2071689,1236713,68929
257078,1136829,1487396
518067,286808,495433
1590339,1320202,392280
1477307,1727038,1362144
99353,750754,583554
680922,695211,1711661
1094826,1292032,1042000
1489502,974449,1300284
1051463,2025833,411057
791364,1513528,688368
1340721,1661264,788830
2023533,597027,194079
1634385,1718201,1581329
254109,773359,625525
871716,1465989,733045
1257256,2082264,1777527
250282,1589041,211252
772462,1588059,1482945
761809,167922,1083278
1296190,1107358,666250
776592,1462312,1546906
1791702,830831,113493
439336,802388,1657789
1660311,1849635,1118939
1096081,1690109,1150325
1490781,1765895,1238817
643030,1391518,1029453
160023,1605828,365116
1837138,668923,1922612
2094434,1500280,1381996
1883125,265431,1210523
1362860,615109,1183368
506523,1501339,838641
793682,1640732,884073
2066799,1982468,295052
319089,1843148,1856128
967969,733719,2054635
971299,1059482,844675
1269000,1240002,748008
1950299,137589,230748
1473760,1144464,1335562
1557677,403500,1860035
1845455,342685,446913
1145772,505340,1784963
871383,1096125,1419769
613983,1617631,1629248
72581,915216,2066703
972316,2040117,348641
1031055,721403,785454
221479,982230,259857
564819,1810287,585254
32156,291779,1761187
446184,487765,594706
1502192,1829200,2040159
153073,1716222,1404511
2041898,46219,1980953
1890466,1334379,1646308
1775001,1262189,1010225
688366,350919,861594
1384442,395794,408290
995030,1065816,902471
1867698,1769764,2049197
759990,1624463,410442
2018104,1759286,376720
1494363,945303,1276660
212932,258164,1730656
468116,233371,1287752
1196396,510946,1709369
1870694,923812,1922360
1167207,1946023,689511
623922,330695,1460038
2016974,617733,765074
127399,1473108,307583
575262,570862,489225
749897,387931,2052596
921446,1922890,2006570
569772,909460,1321105
179321,449405,190952
1178805,538501,1662221
2049110,1885423,1065911
1493445,1089411,1737429
311990,1355529,1085582
744866,1786647,1638557
1604988,876852,462442
916685,1687249,259933
311313,500444,734271
104316,1462883,1869960
898166,1933436,1048570
1836983,995219,414390
721658,1215558,847963
1210318,1922020,1304167
998702,774945,402222
336053,560787,90469
792627,1771048,1187186
581825,1806228,451992
970840,65341,1981233
1854520,983909,1762014
276335,1661475,906664
1243170,113038,862253
1531600,1435754,1748973
1956070,1725445,1972288
1966365,157321,349558
693015,2043057,1180292
10958,1545457,478243
127402,592798,428718
404702,1610608,393082
253423,1204377,1788171
1057322,1313160,1400861
8374,122147,1083485
1550075,996777,591379
1378018,1049826,575671
1130743,71840,1370355
419408,941732,347501
1851243,1036519,136381
1161555,1553154,1834358
347270,212244,322022
1600886,1813184,1722402
655284,1485217,1913114
767034,1454196,32880
1833994,214087,688742
1451080,736004,320903
1435313,1611642,1783235
372234,1632274,1980741
1823895,1025026,1562174
1637777,2079128,513246
1485743,1357087,980957
908663,1551840,710038
1381579,1040466,1170350
964318,1914943,1935177
1628468,421688,2097300
1848689,853515,1006525
1055991,915212,479479
1656444,1903531,660660
1293300,1903934,162641
1601829,1193685,1679908
1241574,514237,1294298
915236,51771,1077425
1600788,1591066,1614407
349838,809371,2003688
2051982,896785,362521
705614,1680566,1749811
1797926,1802105,1914540
1400987,360544,73923
2028388,1192333,833355
1346116,1043341,1255733
1720942,172388,1707314
505833,250251,406163
698483,1705201,1607853
522266,218420,185733
1798809,1281068,806737
1806638,136305,1244933
916425,1456966,1252356
1775114,1902411,1814667
857691,1000656,286674
1269244,488970,1443987
1824350,1455498,47338
663589,189274,1965548
791393,20665,627472
395892,1731962,1573598
1312644,1668814,1221924
1789890,91044,154841
710528,1038258,841667
1961042,1740791,701908
48804,1084278,821621
1449309,3555,680749
469461,279267,1703470
916077,2073916,512118
1388186,1315763,1464549
1597562,1919556,1442690
438832,877930,1599709
366107,347888,1663973
1564905,1819464,1227137
1810941,790840,135158
893607,176813,315267
2027784,1130767,1832160
1197872,560675,1382712
48899,737391,1841997
1597033,685992,1642109
707351,1294965,792759
1173423,2070118,991798
2084078,1257672,1476547
287294,1019608,767893
1172228,131863,1382265
127435,668533,646448
583245,1866986,1285594
1881292,1296648,681659
303268,579327,683416
1815271,822305,1024673
687021,1686688,96720
9576,974595,1410485
37435,1643200,1649872
671397,1903425,964529
555309,386321,670002
1336855,836333,502111
642255,715089,137214
96909,1270759,802849
560712,451282,253797
1977684,666587,1100767
547028,2071990,1591360
1384122,36505,60985
407690,913912,640168
1246338,1126913,988589
749322,1516846,176840
1759045,11781,198207
1642983,798285,851690
1693624,707305,1909249
911151,808535,1567788
1427119,113158,589795
1545305,735664,796290
1068540,840304,1643938
1468141,43491,156484
1525488,1149779,720200
547122,1826044,1462084
1348887,205502,1085681
1599432,489383,549348
1433342,1418406,578210
1516954,2102099,2021860
682788,1966951,1187448
1772571,302071,382168
1140749,701897,306319
450655,524826,1395602
1097482,1068532,692000
1322496,955418,846044
80654,560785,1938908
1868712,771558,1872109
87750,1473732,1100785
1210120,1054254,736314
1950759,1336517,198565
445473,761930,409370
957736,653270,2028969
1474247,505636,841231
942962,34850,1518818
255257,1400383,1078005
46810,1894779,1693017
132786,1115496,168901
1310615,1530643,1067634
829969,1801021,546481
14389,1329945,25556
944573,1979348,1003341
712598,583994,1424061
948013,806344,1565348
362162,88713,1133498
692739,1979252,1303529
1718048,1858095,1450578
1514974,1706260,915123
272786,27463,485680
698050,207922,1997906
859081,750412,650567
3190,1562435,1861885
2084139,1494502,354036
890499,294280,944980
483162,1073571,495631
1097712,1093111,120324
1708237,1574041,1725773
1704549,752198,558684
2067659,1095791,1905627
712307,2060942,272390
588278,1347370,1445679
295891,1002074,96792
171499,78607,350061
989718,996699,948446
1759028,1428051,1587964
1008234,1510027,432815
1798238,2069884,280579
578316,60161,30033
293028,756834,84753
984424,1429142,1808215
1058956,672816,1660482
102034,1675338,269672
377477,1627793,2032023
182018,1735131,1820784
1196759,300608,1430940
1403092,236174,1573936
149589,2059825,1839117
978828,1226208,212486
341769,1637898,1014876
1070149,998885,1445359
252480,482330,1194829
1308935,811561,415063
975918,1087122,673204
1145029,324734,505050
1761132,1741369,411325
1644247,577373,1813080
657146,299222,73050
2047766,52048,335234
1436442,681976,1537852
1737026,1060379,646009
269602,1400049,1266228
665454,189043,1310699
142151,1169886,488618
1445773,389345,520745
2101819,1423819,68295
305779,386615,985302
2033766,67342,1166774
258371,1740500,1709149
1673122,1033132,1829653
1625952,1570136,1578616
1404217,259678,2043345
1078671,1128041,1951866
1011750,1955500,1359004
452338,2068806,1159537
708715,1517231,708785
413028,130408,1113303
1006660,1667782,126569
744736,830223,1565433
1823391,1684338,1744672
1965094,477786,1673326
1642643,131813,343000
59384,229995,435900
1943203,1388672,1742404
547035,1963433,166972
1337801,1212312,1985775
529879,1760727,361313
1925701,344387,1341451
559856,1286951,923000
1407153,1169076,1518839
50245,1536038,990933
556174,1796392,1284279
168772,1586052,1617987
689624,645202,441605
1840280,451609,2043065
1899407,2087626,1349718
736187,798044,641071
1978081,486804,421353
1083184,1640660,317715
1424705,591353,1324706
983608,1112241,1784225
940502,1042260,1262181
867708,874204,1673057
1963563,662391,816171
1308277,468059,99292
1349863,138804,1257233
563599,1990360,84840
2001963,1499507,392175
140695,1269414,1350561
1705978,1493549,379086
304109,1240845,959949
1353729,1605971,1675119
1917632,46551,14613
55160,1006921,1450408
611132,471185,826718
1824216,390350,888238
509673,1275064,1644497
384208,1050457,549024
354693,706627,556208
1958621,1966545,1932
1621460,1334030,1876933
1726293,1703786,960442
607078,1088778,1348086
595060,273327,497891
2002969,280085,1066498
1572004,1270584,806899
2015925,456435,948919
1188270,1203344,1165749
718381,1801289,430394
1293495,468662,315083
520817,1929072,515492
1774949,1986026,1457960
1741481,1083902,1173656
182628,190641,1574486
734179,1911952,202583
1290885,1340508,1031206
33112,694448,711287
1671832,97923,1714890
1988317,1400524,652654
1214309,698574,952263
2021784,1937343,623830
554096,655550,1777975
1306895,220603,59960
1569916,1564171,1420022
1835478,825714,1645345
17332,673880,1197853
288236,340662,1632804
1551617,1815665,112936
1124946,903347,1073795
2067926,1288713,1765276
55465,176655,365437
379628,861749,1560907
554990,1259898,409744
631870,1749854,835243
1211869,1805632,107339
1225843,2057900,1245523
827040,1897290,2063251
260214,1783186,1539544
1966847,1454689,315385
972576,1917019,1233189
1938837,829660,948449
1327100,1658072,287493
1742961,1304006,976133
1250160,2063608,1088424
1276337,419022,489943
615178,588185,215090
1275457,1926501,1294921
1526339,1224729,1778906
283341,1915664,1596603
1965356,1757190,1160585
1103744,1846241,1900001
1673618,400205,393218
1417800,166251,1618263
565294,2076118,1694081
971738,295718,773038
912106,2068877,728999
834503,551757,1539042
1427748,450818,221689
1104992,539493,1949752
1337456,1019875,666849
1093370,1160405,240497
939936,2059365,468802
796189,312792,182971
114482,1530989,842740
1094477,747875,671057
637377,94239,713069
504640,891561,1315676
1230692,874611,617609
125255,548206,1213305
146274,1053704,542637
1063770,42803,1447315
824803,1249933,1837623
195937,1068848,869695
954244,440691,856036
463513,1800911,192418
1755113,354732,1164602
611125,543150,732633
847091,1122419,632675
1818283,178038,200517
921154,1561135,1378197
53704,1978401,298706
393026,721460,1131718
664155,91863,1650549
649579,1462897,1343737
94812,1591668,1234017
793074,550775,1990091
1135682,142985,1401715
1242522,4135,800298
927138,1455054,1025195
1454992,1224821,1671195
1231107,867693,1569613
84381,1401916,274006
558664,1982719,724354
806833,1647396,1467957
767104,1528755,1082755
1693103,821404,312836
